Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2009-2010,All,20 and over,Hispanic,Saturated Fat,23.6,0.6,22.3,24.8,,,,
2009-2010,All,20 and over,Mexican American,Saturated Fat,23.7,0.8,22.2,25.2,,,,
2009-2010,All,20-29,All,Saturated Fat,27.2,0.8,25.6,28.8,,,,
2009-2010,All,30-39,All,Saturated Fat,26.9,0.5,25.9,27.9,,,,
2009-2010,All,40-49,All,Saturated Fat,27.2,1,25.3,29.2,,,,
2009-2010,All,50-59,All,Saturated Fat,26.7,0.9,25,28.4,,,,
2009-2010,All,60-69,All,Saturated Fat,24.5,0.7,23.2,25.7,,,,
2009-2010,All,70 and over,All,Saturated Fat,20.6,0.5,19.7,21.5,,,,
2009-2010,Female,19-Feb,All,Saturated Fat,23.1,0.6,21.8,24.3,,,,
2009-2010,Female,5-Feb,All,Saturated Fat,20.6,0.9,18.8,22.4,,,,
2009-2010,Female,11-Jun,All,Saturated Fat,22.1,0.5,21.2,23,,,,
2009-2010,Female,19-Dec,All,Saturated Fat,23.1,0.6,21.8,24.3,,,,
2009-2010,Female,20 and over,All,Saturated Fat,21.6,0.2,21.2,22,,,,
2009-2010,Female,20-29,All,Saturated Fat,23.6,1.1,21.4,25.7,,,,
2009-2010,Female,30-39,All,Saturated Fat,22.2,0.6,21.1,23.4,,,,
2009-2010,Female,40-49,All,Saturated Fat,21.2,0.7,19.8,22.5,,,,
2009-2010,Female,50-59,All,Saturated Fat,21,0.8,19.5,22.6,,,,
2009-2010,Female,60-69,All,Saturated Fat,22,0.9,20.3,23.6,,,,
2009-2010,Female,70 and over,All,Saturated Fat,19,0.5,18,19.9,,,,
2009-2010,Male,19-Feb,All,Saturated Fat,31.3,1.4,28.6,34,,,,
2009-2010,Male,5-Feb,All,Saturated Fat,19.6,0.8,18.1,21.1,,,,
2009-2010,Male,11-Jun,All,Saturated Fat,24.7,0.7,23.3,26.1,,,,
2009-2010,Male,19-Dec,All,Saturated Fat,31.3,1.4,28.6,34,,,,
2009-2010,Male,20 and over,All,Saturated Fat,30.6,0.7,29.2,32,,,,
2009-2010,Male,20-29,All,Saturated Fat,30.7,1.1,28.5,32.9,,,,
2009-2010,Male,30-39,All,Saturated Fat,31.5,1.1,29.3,33.7,,,,
2009-2010,Male,40-49,All,Saturated Fat,34.3,1.7,31,37.5,,,,
2009-2010,Male,50-59,All,Saturated Fat,32.3,1.3,29.8,34.9,,,,
2009-2010,Male,60-69,All,Saturated Fat,27.2,0.8,25.6,28.8,,,,
2009-2010,Male,70 and over,All,Saturated Fat,23,0.6,21.7,24.2,,,,
2009-2010,All,19-Feb,All,Sodium,"3,561.80",109.4,"3,345.70","3,777.80",,,,
2009-2010,All,19-Feb,Non-Hispanic White,Sodium,"3,583.70",133.5,"3,319.90","3,847.50",,,,
2009-2010,All,19-Feb,Non-Hispanic Black,Sodium,"3,347.50",135.7,"3,079.40","3,615.60",,,,
2009-2010,All,19-Feb,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,19-Feb,Hispanic,Sodium,"3,434.10",81.5,"3,273.20","3,595.10",,,,
2009-2010,All,19-Feb,Mexican American,Sodium,"3,454.50",133.6,"3,190.50","3,718.50",,,,
2009-2010,All,5-Feb,All,Sodium,"2,308.10",43.5,"2,222.30","2,394.00",,,,
2009-2010,All,11-Jun,All,Sodium,"2,971.40",49.1,"2,874.50","3,068.30",,,,
2009-2010,All,19-Dec,All,Sodium,"3,561.80",109.4,"3,345.70","3,777.80",,,,
2009-2010,All,20 and over,All,Sodium,"3,588.60",29.2,"3,531.00","3,646.20",,,,
2009-2010,All,20 and over,Non-Hispanic White,Sodium,"3,627.00",35.8,"3,556.40","3,697.60",,,,
2009-2010,All,20 and over,Non-Hispanic Black,Sodium,"3,357.50",59.8,"3,239.40","3,475.60",,,,
2009-2010,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,20 and over,Hispanic,Sodium,"3,417.00",50.5,"3,317.20","3,516.70",,,,
2009-2010,All,20 and over,Mexican American,Sodium,"3,367.90",73.4,"3,223.00","3,512.90",,,,
2009-2010,All,20-29,All,Sodium,"3,805.40",71.2,"3,664.90","3,946.00",,,,
2009-2010,All,30-39,All,Sodium,"3,792.30",63.8,"3,666.30","3,918.30",,,,
2009-2010,All,40-49,All,Sodium,"3,745.80",66.6,"3,614.30","3,877.30",,,,
2009-2010,All,50-59,All,Sodium,"3,623.40",83.8,"3,457.90","3,789.00",,,,
2009-2010,All,60-69,All,Sodium,"3,371.80",62.6,"3,248.30","3,495.40",,,,
2009-2010,All,70 and over,All,Sodium,"2,844.40",55.1,"2,735.60","2,953.20",,,,
2009-2010,Female,19-Feb,All,Sodium,"2,958.40",95.5,"2,769.80","3,147.00",,,,
2009-2010,Female,5-Feb,All,Sodium,"2,282.70",57,"2,170.10","2,395.40",,,,
2009-2010,Female,11-Jun,All,Sodium,"2,875.30",66.1,"2,744.70","3,005.80",,,,
2009-2010,Female,19-Dec,All,Sodium,"2,958.40",95.5,"2,769.80","3,147.00",,,,
2009-2010,Female,20 and over,All,Sodium,"2,980.10",29.9,"2,921.00","3,039.10",,,,
2009-2010,Female,20-29,All,Sodium,"3,216.70",74.3,"3,069.90","3,363.40",,,,
2009-2010,Female,30-39,All,Sodium,"3,049.70",63.1,"2,924.90","3,174.40",,,,
2009-2010,Female,40-49,All,Sodium,"3,013.90",74.1,"2,867.50","3,160.30",,,,
2009-2010,Female,50-59,All,Sodium,"2,991.60",79.9,"2,833.80","3,149.40",,,,
2009-2010,Female,60-69,All,Sodium,"2,890.90",79.1,"2,734.60","3,047.20",,,,
2009-2010,Female,70 and over,All,Sodium,"2,588.50",65.3,"2,459.60","2,717.40",,,,
2009-2010,Male,19-Feb,All,Sodium,"4,210.80",156.9,"3,900.80","4,520.70",,,,
2009-2010,Male,5-Feb,All,Sodium,"2,330.50",70.6,"2,191.00","2,470.10",,,,
2009-2010,Male,11-Jun,All,Sodium,"3,062.20",62.4,"2,938.90","3,185.60",,,,
2009-2010,Male,19-Dec,All,Sodium,"4,210.80",156.9,"3,900.80","4,520.70",,,,
2009-2010,Male,20 and over,All,Sodium,"4,242.70",42.9,"4,158.10","4,327.40",,,,
2009-2010,Male,20-29,All,Sodium,"4,375.70",111.7,"4,155.10","4,596.30",,,,
2009-2010,Male,30-39,All,Sodium,"4,532.80",105.3,"4,324.80","4,740.80",,,,
2009-2010,Male,40-49,All,Sodium,"4,588.30",162.5,"4,267.20","4,909.40",,,,
2009-2010,Male,50-59,All,Sodium,"4,252.70",151.7,"3,953.10","4,552.30",,,,
2009-2010,Male,60-69,All,Sodium,"3,899.80",80.3,"3,741.20","4,058.30",,,,
2009-2010,Male,70 and over,All,Sodium,"3,204.90",72.7,"3,061.30","3,348.50",,,,
2009-2010,All,19-Feb,All,Vitamin D,5.5,0.3,5,6,,,,
2009-2010,All,19-Feb,Non-Hispanic White,Vitamin D,5.9,0.5,4.9,6.8,,,,
2009-2010,All,19-Feb,Non-Hispanic Black,Vitamin D,4.1,0.4,3.3,4.9,,,,
2009-2010,All,19-Feb,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,19-Feb,Hispanic,Vitamin D,5.3,0.3,4.7,5.9,,,,
2009-2010,All,19-Feb,Mexican American,Vitamin D,5,0.3,4.4,5.5,,,,
2009-2010,All,5-Feb,All,Vitamin D,6.8,0.2,6.4,7.2,,,,
2009-2010,All,11-Jun,All,Vitamin D,6.1,0.2,5.8,6.4,,,,
2009-2010,All,19-Dec,All,Vitamin D,5.5,0.3,5,6,,,,
2009-2010,All,20 and over,All,Vitamin D,5.1,0.1,4.9,5.4,,,,
2009-2010,All,20 and over,Non-Hispanic White,Vitamin D,5.4,0.2,5,5.9,,,,
2009-2010,All,20 and over,Non-Hispanic Black,Vitamin D,4.1,0.2,3.8,4.5,,,,
2009-2010,All,20 and over,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,20 and over,Hispanic,Vitamin D,4.8,0.1,4.6,5.1,,,,
2009-2010,All,20 and over,Mexican American,Vitamin D,4.9,0.2,4.5,5.4,,,,
2009-2010,All,20-29,All,Vitamin D,4.9,0.2,4.6,5.3,,,,
2009-2010,All,30-39,All,Vitamin D,5.1,0.3,4.6,5.6,,,,
2009-2010,All,40-49,All,Vitamin D,5.1,0.3,4.5,5.8,,,,
2009-2010,All,50-59,All,Vitamin D,5.4,0.4,4.7,6.1,,,,
2009-2010,All,60-69,All,Vitamin D,5.3,0.2,4.9,5.8,,,,
2009-2010,All,70 and over,All,Vitamin D,5,0.2,4.5,5.4,,,,
2009-2010,Female,19-Feb,All,Vitamin D,4.7,0.3,4,5.3,,,,
2009-2010,Female,5-Feb,All,Vitamin D,6.9,0.3,6.2,7.5,,,,
2009-2010,Female,11-Jun,All,Vitamin D,5.4,0.2,5,5.9,,,,
2009-2010,Female,19-Dec,All,Vitamin D,4.7,0.3,4,5.3,,,,
2009-2010,Female,20 and over,All,Vitamin D,4.5,0.2,4.2,4.8,,,,
2009-2010,Female,20-29,All,Vitamin D,4.3,0.3,3.8,4.8,,,,
2009-2010,Female,30-39,All,Vitamin D,4.8,0.3,4.3,5.4,,,,
2009-2010,Female,40-49,All,Vitamin D,4.1,0.2,3.6,4.5,,,,
2009-2010,Female,50-59,All,Vitamin D,4.6,0.5,3.6,5.6,,,,
2009-2010,Female,60-69,All,Vitamin D,4.7,0.3,4.2,5.2,,,,
2009-2010,Female,70 and over,All,Vitamin D,4.4,0.1,4.1,4.7,,,,
2009-2010,Male,19-Feb,All,Vitamin D,6.4,0.4,5.6,7.2,,,,
2009-2010,Male,5-Feb,All,Vitamin D,6.8,0.3,6.2,7.3,,,,
2009-2010,Male,11-Jun,All,Vitamin D,6.7,0.2,6.2,7.1,,,,
2009-2010,Male,19-Dec,All,Vitamin D,6.4,0.4,5.6,7.2,,,,
2009-2010,Male,20 and over,All,Vitamin D,5.9,0.2,5.5,6.2,,,,
2009-2010,Male,20-29,All,Vitamin D,5.5,0.3,5,6,,,,
2009-2010,Male,30-39,All,Vitamin D,5.3,0.4,4.6,6,,,,
2009-2010,Male,40-49,All,Vitamin D,6.4,0.6,5.2,7.5,,,,
2009-2010,Male,50-59,All,Vitamin D,6.1,0.3,5.5,6.8,,,,
2009-2010,Male,60-69,All,Vitamin D,6,0.3,5.4,6.7,,,,
2009-2010,Male,70 and over,All,Vitamin D,5.8,0.4,5.1,6.6,,,,
2011-2012,All,19-Feb,All,Calcium,"1,126.40",35.5,"1,196.50","1,056.30",,,,
2011-2012,All,19-Feb,Non-Hispanic White,Calcium,"1,198.60",46.2,"1,289.90","1,107.20",,,,
2011-2012,All,19-Feb,Non-Hispanic Black,Calcium,831,28.6,887.4,774.6,,,,
2011-2012,All,19-Feb,Non-Hispanic Asian,Calcium,"1,050.10",66.7,"1,181.90",918.3,,,,
2011-2012,All,19-Feb,Hispanic,Calcium,"1,164.80",70.4,"1,304.00","1,025.70",,,,
2011-2012,All,19-Feb,Mexican American,Calcium,"1,267.60",79.2,"1,424.10","1,111.10",,,,
2011-2012,All,5-Feb,All,Calcium,"1,006.40",33.6,940.1,"1,072.70",,,,
2011-2012,All,11-Jun,All,Calcium,"1,072.90",27.8,"1,018.00","1,127.80",,,,
2011-2012,All,19-Dec,All,Calcium,"1,126.40",35.5,"1,056.30","1,196.50",,,,
2011-2012,All,20 and over,All,Calcium,988.6,14.3,"1,016.80",960.5,,,,
2011-2012,All,20 and over,Non-Hispanic White,Calcium,"1,028.80",16.6,"1,061.60",996.1,,,,
2011-2012,All,20 and over,Non-Hispanic Black,Calcium,858.5,27.3,912.4,804.6,,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Calcium,775.7,18,811.3,740.1,,,,
2011-2012,All,20 and over,Hispanic,Calcium,999.1,27.8,"1,053.90",944.2,,,,
2011-2012,All,20 and over,Mexican American,Calcium,"1,054.00",40.2,"1,133.50",974.6,,,,
2011-2012,All,20-29,All,Calcium,"1,055.60",33.1,990.1,"1,121.00",,,,
2011-2012,All,30-39,All,Calcium,"1,084.60",48.6,988.5,"1,180.70",,,,
2011-2012,All,40-49,All,Calcium,"1,042.90",29.3,985,"1,100.80",,,,
2011-2012,All,50-59,All,Calcium,925.3,36.6,853,997.5,,,,
2011-2012,All,60-69,All,Calcium,925.3,38.8,848.6,"1,002.00",,,,
2011-2012,All,70 and over,All,Calcium,839.8,20.5,799.3,880.4,,,,
2011-2012,Female,19-Feb,All,Calcium,936.8,28.8,993.8,879.9,,,,
2011-2012,Female,5-Feb,All,Calcium,948.7,26.3,896.8,"1,000.60",,,,
2011-2012,Female,11-Jun,All,Calcium,"1,003.60",37.5,929.5,"1,077.70",,,,
2011-2012,Female,19-Dec,All,Calcium,936.8,28.8,879.9,993.8,,,,
2011-2012,Female,20 and over,All,Calcium,868,16.5,900.6,835.4,,,,
2011-2012,Female,20-29,All,Calcium,907.9,27.1,854.4,961.4,,,,
2011-2012,Female,30-39,All,Calcium,938.3,44.4,850.5,"1,026.10",,,,
2011-2012,Female,40-49,All,Calcium,855.5,30.1,796,915,,,,
2011-2012,Female,50-59,All,Calcium,866.3,38.2,790.9,941.7,,,,
2011-2012,Female,60-69,All,Calcium,808.3,46.4,716.6,900,,,,
2011-2012,Female,70 and over,All,Calcium,808.9,31.6,746.6,871.2,,,,
2011-2012,Male,19-Feb,All,Calcium,"1,310.80",48.3,"1,406.20","1,215.40",,,,
2011-2012,Male,5-Feb,All,Calcium,"1,062.20",58.8,946.1,"1,178.30",,,,
2011-2012,Male,11-Jun,All,Calcium,"1,136.60",29,"1,079.40","1,193.80",,,,
2011-2012,Male,19-Dec,All,Calcium,"1,310.80",48.3,"1,215.40","1,406.20",,,,
2011-2012,Male,20 and over,All,Calcium,"1,115.60",20.9,"1,156.90","1,074.20",,,,
2011-2012,Male,20-29,All,Calcium,"1,194.10",59,"1,077.70","1,310.60",,,,
2011-2012,Male,30-39,All,Calcium,"1,226.80",78.8,"1,071.10","1,382.40",,,,
2011-2012,Male,40-49,All,Calcium,"1,237.70",42.4,"1,154.00","1,321.30",,,,
2011-2012,Male,50-59,All,Calcium,989.3,61.5,867.9,"1,110.80",,,,
2011-2012,Male,60-69,All,Calcium,"1,052.80",45.8,962.4,"1,143.30",,,,
2011-2012,Male,70 and over,All,Calcium,880.6,20.7,839.8,921.4,,,,
2011-2012,All,19-Feb,All,Dietary Fiber,15.3,0.3,15.8,14.8,,,,
2011-2012,All,19-Feb,Non-Hispanic White,Dietary Fiber,15.4,0.5,16.4,14.4,,,,
2011-2012,All,19-Feb,Non-Hispanic Black,Dietary Fiber,12.9,0.5,14,11.9,,,,
2011-2012,All,19-Feb,Non-Hispanic Asian,Dietary Fiber,15.2,0.9,17,13.5,,,,
2011-2012,All,19-Feb,Hispanic,Dietary Fiber,16.9,0.8,18.4,15.3,,,,
2011-2012,All,19-Feb,Mexican American,Dietary Fiber,18,0.9,19.6,16.3,,,,
2011-2012,All,5-Feb,All,Dietary Fiber,12.1,0.3,11.5,12.6,,,,
2011-2012,All,11-Jun,All,Dietary Fiber,14.7,0.4,14,15.4,,,,
2011-2012,All,19-Dec,All,Dietary Fiber,15.3,0.3,14.8,15.8,,,,
2011-2012,All,20 and over,All,Dietary Fiber,18.1,0.4,18.8,17.5,,,,
2011-2012,All,20 and over,Non-Hispanic White,Dietary Fiber,18.3,0.5,19.4,17.3,,,,
2011-2012,All,20 and over,Non-Hispanic Black,Dietary Fiber,15.2,0.4,16.1,14.4,,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Dietary Fiber,19.2,0.5,20.2,18.2,,,,
2011-2012,All,20 and over,Hispanic,Dietary Fiber,19.4,0.7,20.8,17.9,,,,
2011-2012,All,20 and over,Mexican American,Dietary Fiber,20.7,0.9,22.5,18.9,,,,
2011-2012,All,20-29,All,Dietary Fiber,17.8,0.5,16.8,18.8,,,,
2011-2012,All,30-39,All,Dietary Fiber,19.9,0.6,18.7,21,,,,
2011-2012,All,40-49,All,Dietary Fiber,17.7,0.6,16.6,18.9,,,,
2011-2012,All,50-59,All,Dietary Fiber,18,0.5,17,19.1,,,,
2011-2012,All,60-69,All,Dietary Fiber,18.6,0.8,16.9,20.2,,,,
2011-2012,All,70 and over,All,Dietary Fiber,16.5,0.4,15.7,17.3,,,,
2011-2012,Female,19-Feb,All,Dietary Fiber,12.5,0.3,13,11.9,,,,
2011-2012,Female,5-Feb,All,Dietary Fiber,12.1,0.3,11.4,12.8,,,,
2011-2012,Female,11-Jun,All,Dietary Fiber,13.9,0.5,13,14.8,,,,
2011-2012,Female,19-Dec,All,Dietary Fiber,12.5,0.3,11.9,13,,,,
2011-2012,Female,20 and over,All,Dietary Fiber,16.1,0.3,16.8,15.4,,,,
2011-2012,Female,20-29,All,Dietary Fiber,15.8,0.5,14.8,16.7,,,,
2011-2012,Female,30-39,All,Dietary Fiber,17.5,0.6,16.2,18.8,,,,
2011-2012,Female,40-49,All,Dietary Fiber,15.3,0.6,14.2,16.5,,,,
2011-2012,Female,50-59,All,Dietary Fiber,16.2,0.7,14.9,17.5,,,,
2011-2012,Female,60-69,All,Dietary Fiber,16.5,0.9,14.9,18.2,,,,
2011-2012,Female,70 and over,All,Dietary Fiber,15.2,0.5,14.2,16.1,,,,
2011-2012,Male,19-Feb,All,Dietary Fiber,18.1,0.4,18.9,17.2,,,,
2011-2012,Male,5-Feb,All,Dietary Fiber,12,0.4,11.2,12.9,,,,
2011-2012,Male,11-Jun,All,Dietary Fiber,15.4,0.6,14.3,16.5,,,,
2011-2012,Male,19-Dec,All,Dietary Fiber,18.1,0.4,17.2,18.9,,,,
2011-2012,Male,20 and over,All,Dietary Fiber,20.3,0.4,21.1,19.5,,,,
2011-2012,Male,20-29,All,Dietary Fiber,19.7,0.8,18.1,21.3,,,,
2011-2012,Male,30-39,All,Dietary Fiber,22.1,0.7,20.7,23.6,,,,
2011-2012,Male,40-49,All,Dietary Fiber,20.2,1,18.2,22.2,,,,
2011-2012,Male,50-59,All,Dietary Fiber,20,0.9,18.2,21.7,,,,
2011-2012,Male,60-69,All,Dietary Fiber,20.8,0.9,19,22.6,,,,
2011-2012,Male,70 and over,All,Dietary Fiber,18.2,0.7,16.8,19.6,,,,
2011-2012,All,19-Feb,All,Iron,15.5,0.4,16.2,14.7,,,,
2011-2012,All,19-Feb,Non-Hispanic White,Iron,15.4,0.7,16.7,14.1,,,,
2011-2012,All,19-Feb,Non-Hispanic Black,Iron,13.8,0.6,15,12.6,,,,
2011-2012,All,19-Feb,Non-Hispanic Asian,Iron,14.8,1.1,16.9,12.6,,,,
2011-2012,All,19-Feb,Hispanic,Iron,17.1,0.7,18.5,15.7,,,,
2011-2012,All,19-Feb,Mexican American,Iron,18.7,0.9,20.5,16.8,,,,
2011-2012,All,5-Feb,All,Iron,11.5,0.3,11,12,,,,
2011-2012,All,11-Jun,All,Iron,14.8,0.5,13.8,15.7,,,,
2011-2012,All,19-Dec,All,Iron,15.5,0.4,14.7,16.2,,,,
2011-2012,All,20 and over,All,Iron,15.8,0.2,16.1,15.4,,,,
2011-2012,All,20 and over,Non-Hispanic White,Iron,16,0.3,16.6,15.5,,,,
2011-2012,All,20 and over,Non-Hispanic Black,Iron,14,0.3,14.6,13.5,,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Iron,14.5,0.4,15.3,13.7,,,,
2011-2012,All,20 and over,Hispanic,Iron,16.7,0.6,17.9,15.5,,,,
2011-2012,All,20 and over,Mexican American,Iron,18.2,0.7,19.5,16.8,,,,
2011-2012,All,20-29,All,Iron,16.3,0.3,15.8,16.8,,,,
2011-2012,All,30-39,All,Iron,17,0.4,16.2,17.8,,,,
2011-2012,All,40-49,All,Iron,15.6,0.5,14.6,16.6,,,,
2011-2012,All,50-59,All,Iron,15.6,0.6,14.4,16.7,,,,
2011-2012,All,60-69,All,Iron,15.1,0.7,13.7,16.5,,,,
2011-2012,All,70 and over,All,Iron,14.6,0.4,13.8,15.4,,,,
2011-2012,Female,19-Feb,All,Iron,12,0.5,13,11.1,,,,
2011-2012,Female,5-Feb,All,Iron,11.5,0.4,10.8,12.2,,,,
2011-2012,Female,11-Jun,All,Iron,13.9,0.7,12.6,15.2,,,,
2011-2012,Female,19-Dec,All,Iron,12,0.5,11.1,13,,,,
2011-2012,Female,20 and over,All,Iron,13.6,0.2,14,13.1,,,,
2011-2012,Female,20-29,All,Iron,14.4,0.3,13.9,15,,,,
2011-2012,Female,30-39,All,Iron,14.6,0.5,13.7,15.4,,,,
2011-2012,Female,40-49,All,Iron,12.8,0.5,11.9,13.7,,,,
2011-2012,Female,50-59,All,Iron,14,0.8,12.6,15.5,,,,
2011-2012,Female,60-69,All,Iron,12.5,0.6,11.4,13.7,,,,
2011-2012,Female,70 and over,All,Iron,12.6,0.5,11.7,13.5,,,,
2011-2012,Male,19-Feb,All,Iron,18.8,0.5,19.8,17.8,,,,
2011-2012,Male,5-Feb,All,Iron,11.4,0.4,10.6,12.1,,,,
2011-2012,Male,11-Jun,All,Iron,15.5,0.5,14.5,16.4,,,,
2011-2012,Male,19-Dec,All,Iron,18.8,0.5,17.8,19.8,,,,
2011-2012,Male,20 and over,All,Iron,18.1,0.2,18.5,17.6,,,,
2011-2012,Male,20-29,All,Iron,18,0.6,16.9,19.1,,,,
2011-2012,Male,30-39,All,Iron,19.3,0.7,17.9,20.8,,,,
2011-2012,Male,40-49,All,Iron,18.5,0.8,16.8,20.2,,,,
2011-2012,Male,50-59,All,Iron,17.2,0.9,15.4,19,,,,
2011-2012,Male,60-69,All,Iron,17.9,1.1,15.7,20,,,,
2011-2012,Male,70 and over,All,Iron,17.3,0.6,16,18.6,,,,
2011-2012,All,19-Feb,All,Potassium,"2,279.50",21.5,"2,322.00","2,237.00",,,,
2011-2012,All,19-Feb,Non-Hispanic White,Potassium,"2,480.30",71.3,"2,621.10","2,339.60",,,,
2011-2012,All,19-Feb,Non-Hispanic Black,Potassium,"2,095.80",67.1,"2,228.30","1,963.40",,,,
2011-2012,All,19-Feb,Non-Hispanic Asian,Potassium,"2,392.70",104.9,"2,600.00","2,185.40",,,,
2011-2012,All,19-Feb,Hispanic,Potassium,"2,529.50",109,"2,744.90","2,314.20",,,,
2011-2012,All,19-Feb,Mexican American,Potassium,"2,672.20",117.6,"2,904.50","2,439.80",,,,
2011-2012,All,5-Feb,All,Potassium,"2,044.90",41.4,"1,963.10","2,126.70",,,,
2011-2012,All,11-Jun,All,Potassium,"2,234.30",45,"2,145.30","2,323.30",,,,
2011-2012,All,19-Dec,All,Potassium,"2,426.50",49.3,"2,329.10","2,523.90",,,,
2011-2012,All,20 and over,All,Potassium,"2,793.50",38.4,"2,869.40","2,717.50",,,,
2011-2012,All,20 and over,Non-Hispanic White,Potassium,"2,869.50",57.4,"2,982.90","2,756.20",,,,
2011-2012,All,20 and over,Non-Hispanic Black,Potassium,"2,461.50",41.3,"2,543.20","2,379.90",,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Potassium,"2,672.60",38.2,"2,748.00","2,597.30",,,,
2011-2012,All,20 and over,Hispanic,Potassium,"2,780.30",54.2,"2,887.30","2,673.30",,,,
2011-2012,All,20 and over,Mexican American,Potassium,"2,816.20",79.5,"2,973.20","2,659.10",,,,
2011-2012,All,20-29,All,Potassium,"2,668.90",44.5,"2,580.90","2,756.80",,,,
2011-2012,All,30-39,All,Potassium,"2,882.00",59.8,"2,763.90","3,000.00",,,,
2011-2012,All,40-49,All,Potassium,"2,853.90",58.9,"2,737.50","2,970.20",,,,
2011-2012,All,50-59,All,Potassium,"2,858.10",81.3,"2,697.50","3,018.70",,,,
2011-2012,All,60-69,All,Potassium,"2,893.60",81.4,"2,732.70","3,054.40",,,,
2011-2012,All,70 and over,All,Potassium,"2,545.50",56.6,"2,433.80","2,657.30",,,,
2011-2012,Female,19-Feb,All,Potassium,"2,019.50",29.3,"2,077.40","1,961.60",,,,
2011-2012,Female,5-Feb,All,Potassium,"1,957.50",57,"1,844.80","2,070.20",,,,
2011-2012,Female,11-Jun,All,Potassium,"2,092.90",56.3,"1,981.80","2,204.00",,,,
2011-2012,Female,19-Dec,All,Potassium,"1,997.70",58.6,"1,882.00","2,113.40",,,,
2011-2012,Female,20 and over,All,Potassium,"2,411.90",37.2,"2,485.40","2,338.40",,,,
2011-2012,Female,20-29,All,Potassium,"2,334.40",56.1,"2,223.50","2,445.20",,,,
2011-2012,Female,30-39,All,Potassium,"2,464.10",67.6,"2,330.50","2,597.70",,,,
2011-2012,Female,40-49,All,Potassium,"2,396.50",84.4,"2,229.80","2,563.20",,,,
2011-2012,Female,50-59,All,Potassium,"2,449.70",64.3,"2,322.70","2,576.70",,,,
2011-2012,Female,60-69,All,Potassium,"2,476.00",83.3,"2,311.50","2,640.60",,,,
2011-2012,Female,70 and over,All,Potassium,"2,344.70",58.9,"2,228.40","2,461.10",,,,
2011-2012,Male,19-Feb,All,Potassium,"2,527.40",39.2,"2,604.90","2,450.00",,,,
2011-2012,Male,5-Feb,All,Potassium,"2,129.40",61.2,"2,008.50","2,250.30",,,,
2011-2012,Male,11-Jun,All,Potassium,"2,364.30",57.3,"2,251.00","2,477.60",,,,
2011-2012,Male,19-Dec,All,Potassium,"2,843.70",82.9,"2,680.00","3,007.40",,,,
2011-2012,Male,20 and over,All,Potassium,"3,195.10",54.3,"3,302.40","3,087.90",,,,
2011-2012,Male,20-29,All,Potassium,"2,982.70",68.8,"2,846.70","3,118.70",,,,
2011-2012,Male,30-39,All,Potassium,"3,287.80",107,"3,076.40","3,499.10",,,,
2011-2012,Male,40-49,All,Potassium,"3,329.30",117.6,"3,097.00","3,561.50",,,,
2011-2012,Male,50-59,All,Potassium,"3,302.20",153.7,"2,998.60","3,605.80",,,,
2011-2012,Male,60-69,All,Potassium,"3,348.80",114.3,"3,123.00","3,574.70",,,,
2011-2012,Male,70 and over,All,Potassium,"2,810.10",71.8,"2,668.30","2,951.90",,,,
2011-2012,All,19-Feb,All,Saturated Fat,27.4,0.9,25.6,29.1,,,,
2011-2012,All,19-Feb,Non-Hispanic White,Saturated Fat,28.1,1.5,25,31.1,,,,
2011-2012,All,19-Feb,Non-Hispanic Black,Saturated Fat,24.9,0.7,23.4,26.3,,,,
2011-2012,All,19-Feb,Non-Hispanic Asian,Saturated Fat,24.1,1.6,21,27.2,,,,
2011-2012,All,19-Feb,Hispanic,Saturated Fat,28,1.2,25.6,30.4,,,,
2011-2012,All,19-Feb,Mexican American,Saturated Fat,30.3,1.5,27.4,33.3,,,,
2011-2012,All,5-Feb,All,Saturated Fat,20.7,0.9,19,22.5,,,,
2011-2012,All,11-Jun,All,Saturated Fat,25.7,0.6,24.5,26.9,,,,
2011-2012,All,19-Dec,All,Saturated Fat,27.4,0.9,25.6,29.1,,,,
2011-2012,All,20 and over,All,Saturated Fat,26.5,0.4,25.8,27.2,,,,
2011-2012,All,20 and over,Non-Hispanic White,Saturated Fat,27.4,0.5,26.4,28.4,,,,
2011-2012,All,20 and over,Non-Hispanic Black,Saturated Fat,25.6,0.6,24.4,26.8,,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Saturated Fat,19.4,0.5,18.4,20.5,,,,
