OVRL_HEALTH,SELFDESC_WEIGHT,MIN_MOD_PA,MIN_VIG_PA,DAY_STR_EXR,SUB_ANY_TOBACCO,SUB_ANY_ALCOHOL,SUB_ANY_CANNABIS,SUB_3MO_TOBACCO,SUB_3MO_ALCOHOL,SUB_3MO_CANNABIS,AGE,SUGAR_7D
Fair,Slightly overweight,30,10,3,Yes,Yes,Yes,Weekly,Monthly,Daily or almost daily,22,7
Good,Slightly overweight,45,0,0,No,No,No,,,,22,0
Good,Slightly overweight,240,0,1,Yes,Yes,Yes,Daily or almost daily,Once or twice,Never,27,2
Good,About the right weight,180,50,4,No,Yes,No,,Once or twice,,23,1
Good,About the right weight,160,0,0,No,No,No,,,,22,3
Very Good,About the right weight,250,0,0,No,No,No,,,,23,18
Very Good,About the right weight,30,0,0,No,Yes,No,,Once or twice,,23,3
Very Good,Slightly overweight,45,45,3,No,Yes,Yes,,Never,Never,22,1
Very Good,About the right weight,120,90,2,Yes,Yes,Yes,Daily or almost daily,Weekly,Weekly,22,2
Very Good,About the right weight,0,0,0,Yes,Yes,Yes,Never,Never,Never,38,0
Good,Very overweight,0,0,0,No,Yes,No,,,,22,3
Good,Slightly overweight,120,0,3,No,No,No,,,,23,0
Good,About the right weight,70,20,1,Yes,Yes,Yes,Daily or almost daily,Once or twice,Once or twice,22,2
Fair,Slightly overweight,240,240,4,Yes,Yes,Yes,Never,Monthly,Monthly,22,1
Very Good,About the right weight,40,0,0,No,No,Yes,,,Never,22,6
Good,Slightly overweight,60,0,1,No,No,No,,,,23,3
Good,Slightly underweight,120,0,0,Yes,Yes,Yes,Never,Monthly,Never,22,5
Very Good,Slightly overweight,200,0,0,No,No,No,,,,22,1
Fair,About the right weight,120,60,0,Yes,Yes,Yes,Weekly,Weekly,Weekly,22,3
Very Good,Slightly overweight,60,90,3,Yes,Yes,Yes,Daily or almost daily,Monthly,Once or twice,22,5
Good,Slightly underweight,90,30,3,Yes,Yes,Yes,Never,Monthly,Daily or almost daily,29,1
Fair,Slightly underweight,1200,0,0,No,Yes,Yes,,Once or twice,Daily or almost daily,22,1
Good,About the right weight,800,0,0,Yes,Yes,Yes,Weekly,Weekly,Once or twice,23,5
Fair,About the right weight,300,60,1,No,Yes,No,,Once or twice,,24,4
Very Good,Slightly overweight,300,0,2,No,Yes,Yes,,Once or twice,Never,23,1
Good,About the right weight,350,210,6,Yes,Yes,Yes,Monthly,Weekly,Once or twice,23,0
Good,Slightly overweight,300,45,0,No,Yes,Yes,,Once or twice,Never,22,0
Very Good,About the right weight,270,120,5,No,No,No,,,,22,0
Very Good,About the right weight,300,300,2,No,Yes,No,,Once or twice,,22,0
Fair,Slightly overweight,60,15,3,No,Yes,Yes,,Weekly,Weekly,22,7
Excellent,About the right weight,300,300,3,Yes,Yes,Yes,Monthly,Once or twice,Once or twice,22,0
Good,About the right weight,120,0,3,No,Yes,Yes,,Once or twice,Never,23,0
Good,Slightly overweight,420,60,3,No,No,No,,,,23,0
Good,Slightly overweight,90,0,0,Yes,Yes,Yes,Never,Monthly,Daily or almost daily,22,5
Fair,Slightly overweight,0,0,0,No,No,No,,,,23,5
Very Good,Slightly overweight,160,,3,No,No,No,,,,35,0
Very Good,Slightly overweight,60,0,2,Yes,Yes,Yes,Once or twice,Weekly,Weekly,22,0
Good,Slightly overweight,720,60,1,No,Yes,No,,Monthly,,23,4
Very Good,Slightly overweight,340,60,4,No,Yes,Yes,,Once or twice,Once or twice,22,0
Very Good,About the right weight,400,60,0,No,Yes,No,,Once or twice,,23,5
Good,Slightly underweight,500,0,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Monthly,22,0
Very Good,About the right weight,60,60,3,No,No,No,,,,22,0
Very Good,Very underweight,0,0,0,No,Yes,Yes,,Monthly,Monthly,23,4
Very Good,About the right weight,30,60,3,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,22,2
Excellent,About the right weight,50,50,4,No,Yes,Yes,,Daily or almost daily,Daily or almost daily,23,
Fair,About the right weight,120,0,0,Yes,Yes,Yes,Never,Never,Never,23,1
Fair,Slightly overweight,300,120,3,No,Yes,Yes,,Once or twice,Never,22,0
Fair,Very overweight,60,0,0,No,No,Yes,,,Never,22,1
Excellent,About the right weight,360,90,2,No,No,No,,,,22,0
Excellent,About the right weight,360,480,6,No,Yes,No,,Never,,22,0
Very Good,About the right weight,120,0,1,Yes,Yes,Yes,Never,Weekly,Never,,7
Very Good,About the right weight,45,60,1,No,Yes,Yes,,Weekly,Once or twice,22,1
Good,Slightly overweight,1000,300,1,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,22,2
Fair,About the right weight,420,0,0,No,Yes,No,,Weekly,,22,1
Good,About the right weight,60,30,1,No,No,No,,,,22,0
Good,About the right weight,120,0,2,Yes,Yes,Yes,Once or twice,Monthly,Monthly,22,1
Fair,Slightly overweight,120,0,1,No,No,No,,,,22,5
Good,Slightly overweight,90,0,0,No,Yes,No,,Once or twice,,22,1
Poor,About the right weight,50,30,0,No,No,No,,,,23,0
Fair,Slightly overweight,30,0,0,No,No,No,,,,22,24
Very Good,About the right weight,90,30,2,No,Yes,Yes,,Weekly,Weekly,25,3
Fair,,0,0,0,No,Yes,Yes,,Monthly,Daily or almost daily,22,0
Good,Slightly overweight,60,45,3,No,Yes,Yes,,Monthly,Never,22,2
Very Good,Slightly overweight,60,180,1,No,Yes,Yes,,Once or twice,Weekly,23,1
Good,Slightly overweight,300,0,0,No,Yes,Yes,,Once or twice,Never,23,5
Very Good,Slightly overweight,360,0,2,No,Yes,Yes,,Once or twice,Weekly,26,2
Fair,Slightly overweight,300,120,0,No,Yes,No,,Once or twice,,22,1
Excellent,Slightly underweight,160,60,0,No,No,Yes,,,Daily or almost daily,22,0
Very Good,Slightly overweight,600,300,0,Yes,Yes,Yes,Never,Weekly,Monthly,22,1
Good,About the right weight,630,150,2,Yes,Yes,Yes,Weekly,Weekly,Daily or almost daily,22,0
Very Good,Slightly overweight,180,60,2,No,Yes,Yes,,Monthly,Never,22,0
Very Good,Slightly overweight,450,120,2,No,Yes,Yes,,Once or twice,Never,22,0
Good,Slightly overweight,60,240,4,Yes,Yes,Yes,Once or twice,Weekly,Once or twice,22,0
Good,About the right weight,30,0,1,No,Yes,Yes,,Monthly,Once or twice,26,0
Very Good,About the right weight,60,130,0,Yes,Yes,Yes,Never,Monthly,Never,24,3
Good,Slightly overweight,420,280,7,Yes,Yes,Yes,Monthly,Monthly,Monthly,22,7
Good,Slightly overweight,75,30,2,Yes,Yes,Yes,Daily or almost daily,Weekly,Never,22,1
Good,About the right weight,350,30,1,Yes,Yes,Yes,Weekly,Weekly,Weekly,22,3
Fair,Slightly overweight,120,0,0,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,22,0
Excellent,About the right weight,300,0,0,No,No,No,,,,22,0
Good,Slightly overweight,480,120,3,No,Yes,Yes,,Never,Monthly,22,1
Very Good,Slightly overweight,60,240,4,No,Yes,Yes,,Never,Never,22,1
Good,Slightly overweight,100,0,0,Yes,Yes,Yes,Never,Monthly,Once or twice,24,4
Poor,Slightly underweight,120,30,1,No,Yes,No,,Once or twice,,22,0
Good,Very overweight,0,0,0,No,Yes,No,,Never,,23,3
Good,About the right weight,190,90,1,Yes,Yes,Yes,Daily or almost daily,Weekly,Never,23,1
Very Good,About the right weight,450,250,3,No,Yes,No,,Once or twice,,27,0
Fair,About the right weight,30,0,0,No,Yes,No,,Once or twice,,22,20
Good,Slightly overweight,300,180,1,Yes,Yes,Yes,Monthly,Weekly,Once or twice,41,1
Very Good,About the right weight,50,0,0,No,No,No,,,,24,
Good,About the right weight,330,0,0,No,Yes,No,,Once or twice,,23,2
Good,Slightly overweight,60,30,0,Yes,Yes,Yes,Once or twice,Weekly,Once or twice,27,2
Very Good,About the right weight,120,30,5,Yes,Yes,Yes,Weekly,Monthly,Never,22,1
Very Good,About the right weight,300,0,0,No,No,No,,,,22,0
Excellent,About the right weight,480,60,2,No,Yes,No,,Monthly,,22,7
Good,Slightly overweight,25,0,0,No,Yes,Yes,,Once or twice,Monthly,22,4
Good,About the right weight,260,0,7,Yes,Yes,Yes,Never,Once or twice,Once or twice,22,1
Poor,Slightly overweight,180,0,0,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,27,2
Good,Slightly overweight,298,9,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Weekly,26,1
Good,About the right weight,660,180,5,Yes,Yes,Yes,Once or twice,Monthly,Never,25,0
Very Good,About the right weight,500,100,0,Yes,Yes,Yes,Never,Daily or almost daily,Never,26,0
Fair,Slightly overweight,150,0,0,Yes,No,No,Daily or almost daily,,,44,2
Good,Slightly overweight,130,0,0,No,Yes,No,,Once or twice,,31,0
Poor,About the right weight,140,0,4,No,Yes,No,,Weekly,,21,
Very Good,About the right weight,120,360,2,No,Yes,No,,Once or twice,,22,0
Very Good,About the right weight,100,20,0,No,Yes,No,,Monthly,,27,2
Good,About the right weight,350,60,7,No,Yes,No,,Never,,40,0
Very Good,About the right weight,120,60,0,Yes,Yes,Yes,Daily or almost daily,Daily or almost daily,Never,33,1
Good,Slightly overweight,300,30,1,Yes,Yes,Yes,Never,Daily or almost daily,Daily or almost daily,23,1
Good,Slightly underweight,60,0,0,No,No,No,,,,21,2
,Slightly overweight,40,0,0,No,No,No,,,,21,1
Fair,Slightly underweight,10,0,0,No,Yes,No,,Once or twice,,21,1
Very Good,Slightly overweight,45,20,3,No,Yes,Yes,,Daily or almost daily,Daily or almost daily,31,0
Good,About the right weight,95,5,0,No,No,No,,,,20,0
Very Good,About the right weight,60,0,4,Yes,Yes,Yes,Never,Weekly,Monthly,21,1
Very Good,About the right weight,200,300,7,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,25,1
Very Good,Slightly overweight,180,0,2,No,Yes,Yes,,Weekly,Weekly,25,1
Fair,Very overweight,15,0,0,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,21,2
Good,About the right weight,300,900,6,No,Yes,Yes,,Monthly,Never,21,5
Very Good,About the right weight,600,350,4,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,22,0
Very Good,Slightly overweight,300,50,4,Yes,Yes,Yes,Daily or almost daily,Daily or almost daily,Weekly,22,7
Very Good,About the right weight,60,120,2,Yes,Yes,Yes,Never,Weekly,Never,21,3
Very Good,About the right weight,120,0,0,No,No,No,,,,21,1
Good,Slightly underweight,120,0,0,No,No,No,,,,22,0
Good,Slightly overweight,0,0,0,Yes,Yes,Yes,Never,Once or twice,Never,22,3
Good,About the right weight,100,40,7,No,Yes,No,,Once or twice,,22,5
Very Good,About the right weight,120,300,3,No,Yes,No,,Once or twice,,21,2
Excellent,About the right weight,150,0,0,No,No,No,,,,20,1
Fair,Slightly overweight,30,0,0,No,No,No,,,,21,2
Very Good,About the right weight,180,120,2,Yes,Yes,Yes,Monthly,Weekly,Daily or almost daily,21,6
Fair,Slightly overweight,20,0,0,No,Yes,Yes,,Weekly,Weekly,21,1
Fair,Slightly overweight,90,5,0,No,Yes,Yes,,Once or twice,Never,21,0
Very Good,About the right weight,300,0,0,No,Yes,No,,Once or twice,,22,2
Fair,About the right weight,90,0,0,No,Yes,Yes,,Never,Once or twice,21,1
Fair,About the right weight,140,135,3,No,Yes,Yes,,Once or twice,Daily or almost daily,21,4
Excellent,Very underweight,60,0,0,No,Yes,No,,Never,,21,1
Very Good,About the right weight,240,240,3,No,No,No,,,,21,0
Good,About the right weight,240,60,1,No,Yes,Yes,,Weekly,Never,22,1
Very Good,About the right weight,300,120,3,No,Yes,Yes,,Daily or almost daily,Once or twice,21,0
Good,Slightly overweight,600,120,0,Yes,Yes,Yes,Never,Never,Never,21,0
Good,Slightly overweight,360,0,0,No,Yes,Yes,,Once or twice,Once or twice,21,3
Good,Slightly overweight,120,180,0,No,Yes,Yes,,Once or twice,Daily or almost daily,21,7
Very Good,About the right weight,400,100,0,Yes,Yes,No,Daily or almost daily,Weekly,,22,1
Good,Slightly overweight,210,90,3,No,Yes,Yes,,Weekly,Never,21,0
Very Good,About the right weight,150,0,0,No,Yes,Yes,,Monthly,Never,21,0
Very Good,Slightly underweight,200,0,0,Yes,Yes,Yes,Daily or almost daily,Monthly,Never,22,2
Good,About the right weight,240,45,2,Yes,Yes,Yes,Monthly,Weekly,Daily or almost daily,22,2
Very Good,Slightly overweight,180,300,5,No,Yes,No,,Never,,21,1
Very Good,Slightly underweight,45,60,0,Yes,Yes,Yes,Daily or almost daily,Once or twice,Once or twice,23,0
Good,Slightly overweight,120,30,0,No,Yes,No,,Once or twice,,21,5
Good,About the right weight,45,70,0,Yes,Yes,Yes,Once or twice,Weekly,Never,22,4
Fair,Very overweight,360,20,0,Yes,Yes,Yes,Never,Weekly,Never,22,2
Very Good,Very overweight,120,60,3,No,No,No,,,,22,1
Good,Slightly overweight,120,0,0,No,Yes,No,,Monthly,,22,1
Good,Slightly overweight,60,30,1,Yes,Yes,Yes,Never,Monthly,Weekly,22,2
Very Good,About the right weight,120,0,0,No,No,No,,,,22,6
Poor,Slightly overweight,0,0,0,No,No,No,,,,21,1
Very Good,About the right weight,180,135,6,No,Yes,Yes,,Monthly,Weekly,21,4
Good,Slightly overweight,0,0,0,No,No,No,,,,22,5
Good,About the right weight,30,1,0,No,Yes,No,,Weekly,,21,4
Very Good,About the right weight,180,0,0,No,Yes,No,,,,22,1
Excellent,Very overweight,80,0,1,No,No,No,,,,21,1
Good,,30,15,0,Yes,Yes,Yes,Once or twice,Monthly,Monthly,21,5
Fair,Slightly overweight,1,1,0,No,Yes,Yes,,Once or twice,Never,22,
Very Good,About the right weight,60,30,2,No,Yes,Yes,,Monthly,Once or twice,21,1
Very Good,About the right weight,60,30,1,No,Yes,No,,Monthly,,21,2
Good,Slightly overweight,130,80,3,No,No,Yes,,,Monthly,21,0
Good,Slightly underweight,60,60,0,No,Yes,Yes,,Monthly,Weekly,21,14
Fair,Very underweight,300,30,1,Yes,Yes,Yes,Never,Monthly,Never,21,3
Very Good,Slightly overweight,10,0,0,No,Yes,No,,Monthly,,21,
Poor,About the right weight,30,10,0,No,No,No,,,,21,5
Very Good,About the right weight,120,200,5,Yes,Yes,Yes,Once or twice,Once or twice,Once or twice,21,1
Very Good,About the right weight,150,30,2,No,Yes,Yes,,Once or twice,Daily or almost daily,21,4
Good,Slightly overweight,120,60,0,Yes,Yes,Yes,Once or twice,Monthly,Daily or almost daily,21,3
Good,Slightly overweight,120,0,3,Yes,Yes,Yes,Never,Once or twice,Never,21,3
Fair,About the right weight,150,300,5,No,No,No,,,,22,0
Good,About the right weight,60,0,1,Yes,Yes,Yes,Daily or almost daily,Once or twice,Once or twice,21,2
Good,About the right weight,900,800,3,No,Yes,No,,Once or twice,,22,12
Excellent,About the right weight,140,240,3,No,Yes,Yes,,Once or twice,Daily or almost daily,21,0
Good,About the right weight,60,30,3,No,No,No,,,,21,0
Poor,About the right weight,0,0,0,No,No,No,,,,21,3
,Slightly overweight,100,10,0,No,Yes,Yes,,Monthly,Once or twice,20,18
Good,Very overweight,5035,95,1,No,Yes,Yes,,Monthly,Never,21,1
Good,Slightly overweight,60,20,2,No,Yes,Yes,,Daily or almost daily,Weekly,22,2
Good,Slightly overweight,30,0,0,No,No,No,,,,22,0
Fair,Slightly overweight,50,0,0,No,No,No,,,,21,5
Very Good,About the right weight,,,,No,No,No,,,,,
Fair,Slightly underweight,60,0,1,Yes,Yes,Yes,Once or twice,Monthly,Daily or almost daily,22,14
Fair,Slightly overweight,240,0,1,No,Yes,Yes,,Monthly,Weekly,21,2
Very Good,About the right weight,30,0,0,No,No,No,,,,22,1
Good,Very overweight,120,0,0,No,Yes,No,,Once or twice,,21,1
Very Good,Slightly underweight,90,15,2,No,Yes,Yes,,Monthly,Never,21,2
Good,Slightly overweight,300,300,5,Yes,Yes,Yes,Never,Monthly,Once or twice,22,1
Fair,Very underweight,30,0,0,No,No,No,,,,21,1
Very Good,About the right weight,150,100,4,Yes,Yes,Yes,Weekly,Weekly,Daily or almost daily,21,8
Good,About the right weight,510,60,2,No,Yes,No,,Never,,22,0
Good,About the right weight,0,0,0,No,No,No,,,,22,3
Excellent,Slightly overweight,100,443,0,No,Yes,No,,Once or twice,,21,1
Good,Slightly overweight,0,0,0,No,No,No,,,,43,5
Good,Slightly overweight,120,0,0,No,Yes,Yes,,Monthly,Daily or almost daily,21,2
Excellent,About the right weight,30,0,0,No,Yes,No,,Never,,21,0
Fair,About the right weight,200,0,0,No,No,No,,,,21,1
Very Good,Slightly underweight,120,30,2,Yes,Yes,No,Never,Weekly,,21,7
Very Good,Slightly overweight,300,0,0,No,Yes,No,,Once or twice,,21,1
Very Good,About the right weight,0,0,0,Yes,Yes,No,Once or twice,Once or twice,,21,6
Fair,Very overweight,150,30,2,No,Yes,No,,Once or twice,,22,1
Good,About the right weight,90,60,1,No,Yes,Yes,,Weekly,Once or twice,21,1
Very Good,Slightly overweight,120,0,0,No,Yes,No,,Weekly,,22,3
Good,About the right weight,120,180,2,Yes,,Yes,Once or twice,,Daily or almost daily,21,1
Good,About the right weight,30,0,0,No,Yes,Yes,,Weekly,Daily or almost daily,21,1
Good,Slightly overweight,120,0,1,No,No,Yes,,,Once or twice,22,0
Very Good,About the right weight,100,0,2,No,Yes,Yes,,Once or twice,Never,22,1
Excellent,About the right weight,60,0,0,No,No,No,,,,22,0
Fair,Slightly underweight,180,0,0,No,No,No,,,,21,1
Very Good,About the right weight,300,0,3,No,No,No,,,,22,0
Good,About the right weight,130,90,2,No,Yes,Yes,,Weekly,Weekly,21,2
Good,Slightly overweight,400,60,0,No,Yes,Yes,,Once or twice,Daily or almost daily,22,0
Poor,Slightly overweight,180,0,0,No,No,No,,,,22,0
Good,Slightly overweight,120,0,0,No,Yes,No,,Once or twice,,21,0
Fair,About the right weight,120,0,0,Yes,Yes,Yes,Never,Weekly,Never,22,2
Excellent,Slightly underweight,840,60,1,No,Yes,No,,Never,,24,1
Very Good,About the right weight,840,360,6,Yes,Yes,Yes,Never,Monthly,Once or twice,21,0
Excellent,About the right weight,80,150,3,No,No,No,,,,22,12
Very Good,Very overweight,120,0,1,No,Yes,Yes,,,Never,35,2
Very Good,About the right weight,220,60,2,No,No,No,,,,20,0
Excellent,About the right weight,420,0,5,No,No,No,,,,22,7
Good,Slightly overweight,60,13,0,No,Yes,No,,Once or twice,,21,6
Fair,About the right weight,60,60,2,No,Yes,Yes,,Monthly,Daily or almost daily,21,2
Very Good,About the right weight,600,120,3,Yes,Yes,Yes,Daily or almost daily,Weekly,Weekly,22,0
Good,Slightly overweight,120,10,0,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,21,1
Good,About the right weight,500,300,0,No,Yes,Yes,,Monthly,Daily or almost daily,22,1
Very Good,About the right weight,30,0,2,No,Yes,No,,Once or twice,,21,0
Excellent,Slightly underweight,45,0,5,Yes,Yes,Yes,Never,Monthly,Weekly,22,4
Good,Slightly overweight,200,200,4,No,Yes,No,,Once or twice,,22,4
Good,Slightly overweight,60,60,0,No,Yes,Yes,,Monthly,Once or twice,21,6
Good,Very overweight,20,0,0,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,21,2
Good,About the right weight,30,0,0,No,Yes,No,,Never,,21,7
Very Good,Slightly underweight,100,100,2,No,Yes,Yes,,Once or twice,Monthly,21,5
Good,About the right weight,300,240,6,Yes,Yes,Yes,Daily or almost daily,Weekly,Weekly,25,0
Good,Slightly overweight,180,0,1,Yes,Yes,Yes,Once or twice,Once or twice,Never,21,3
Good,Slightly overweight,300,90,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,22,2
Good,Slightly overweight,634,1268,5,Yes,Yes,Yes,Monthly,Weekly,Daily or almost daily,21,
Fair,About the right weight,180,60,3,No,No,No,,,,21,0
Good,Slightly overweight,50,20,1,Yes,Yes,No,Never,Weekly,,21,1
,Slightly underweight,30,0,2,No,No,No,,,,22,4
Very Good,Slightly overweight,60,0,0,No,Yes,Yes,,Weekly,Monthly,21,0
Fair,Slightly overweight,240,,4,No,Yes,Yes,,Monthly,Once or twice,22,1
Very Good,About the right weight,60,60,2,Yes,Yes,Yes,Never,Monthly,Once or twice,22,2
Fair,Slightly overweight,180,60,1,Yes,Yes,Yes,Never,Monthly,Once or twice,22,4
Very Good,About the right weight,210,0,0,No,No,No,,,,25,0
Fair,About the right weight,210,70,7,No,No,No,,,,21,0
Very Good,Very overweight,120,0,0,No,No,No,,,,22,1
Good,Slightly overweight,2100,720,4,Yes,Yes,Yes,Weekly,Monthly,Daily or almost daily,21,2
Very Good,About the right weight,420,60,1,No,Yes,No,,Once or twice,,21,2
Good,Slightly overweight,120,10,2,Yes,Yes,Yes,Never,Once or twice,Weekly,21,0
Very Good,About the right weight,120,30,0,Yes,Yes,Yes,Never,Weekly,Never,71,0
Very Good,About the right weight,60,0,0,Yes,Yes,Yes,Never,Weekly,Once or twice,23,1
Very Good,About the right weight,90,0,0,Yes,Yes,Yes,Never,Never,Never,22,2
Good,About the right weight,20,20,0,No,No,No,,,,41,1
Good,Slightly overweight,120,0,0,Yes,Yes,Yes,Once or twice,Never,Never,29,1
